CMDLINE d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\.venv\Scripts\python.exe d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\antistasi_logbook\__main__.py
MEM 253.503906 1672725597.0706
MEM 253.765625 1672725597.1783
MEM 257.425781 1672725597.2860
MEM 257.636719 1672725597.3928
MEM 259.496094 1672725597.5018
MEM 271.242188 1672725597.6115
MEM 275.191406 1672725597.7192
MEM 269.332031 1672725597.8269
MEM 269.421875 1672725597.9356
MEM 270.714844 1672725598.0423
MEM 286.347656 1672725598.1520
MEM 286.363281 1672725598.2598
MEM 287.226562 1672725598.3675
MEM 288.566406 1672725598.4772
MEM 276.933594 1672725598.5849
MEM 278.664062 1672725598.6926
MEM 280.523438 1672725598.8013
MEM 281.289062 1672725598.9090
MEM 282.546875 1672725599.0177
MEM 284.125000 1672725599.1244
MEM 285.894531 1672725599.2312
MEM 293.281250 1672725599.3379
MEM 295.800781 1672725599.4476
MEM 295.996094 1672725599.5553
MEM 298.085938 1672725599.6630
MEM 299.128906 1672725599.7717
MEM 299.882812 1672725599.8804
MEM 294.847656 1672725599.9871
MEM 296.574219 1672725600.0968
MEM 298.359375 1672725600.2036
MEM 300.132812 1672725600.3123
MEM 301.878906 1672725600.4210
MEM 303.882812 1672725600.5287
MEM 305.804688 1672725600.6364
MEM 307.718750 1672725600.7451
MEM 309.535156 1672725600.8538
MEM 311.183594 1672725600.9615
MEM 313.031250 1672725601.0692
MEM 314.941406 1672725601.1770
MEM 316.878906 1672725601.2857
MEM 318.808594 1672725601.3944
MEM 320.769531 1672725601.5031
MEM 322.460938 1672725601.6108
MEM 323.128906 1672725601.7185
MEM 325.058594 1672725601.8272
MEM 327.082031 1672725601.9349
MEM 331.675781 1672725602.0426
MEM 333.605469 1672725602.1514
MEM 335.273438 1672725602.2601
MEM 348.296875 1672725602.3678
MEM 348.277344 1672725602.4745
MEM 348.316406 1672725602.5832
MEM 348.320312 1672725602.6919
MEM 348.324219 1672725602.7996
MEM 348.335938 1672725602.9083
MEM 349.730469 1672725603.0160
MEM 351.750000 1672725603.1248
MEM 353.664062 1672725603.2315
MEM 355.656250 1672725603.3402
MEM 357.675781 1672725603.4479
MEM 359.820312 1672725603.5566
MEM 361.855469 1672725603.6643
MEM 353.515625 1672725603.7740
MEM 355.687500 1672725603.8807
MEM 363.550781 1672725603.9894
MEM 366.781250 1672725604.0972
MEM 368.386719 1672725604.2049
MEM 368.656250 1672725604.3136
MEM 370.687500 1672725604.4223
MEM 372.769531 1672725604.5300
MEM 374.882812 1672725604.6387
MEM 376.953125 1672725604.7464
MEM 379.070312 1672725604.8551
MEM 381.183594 1672725604.9628
MEM 385.347656 1672725605.0716
MEM 429.625000 1672725605.1803
MEM 415.308594 1672725605.2900
MEM 395.187500 1672725605.3967
MEM 394.984375 1672725605.5044
MEM 398.246094 1672725605.6121
MEM 401.636719 1672725605.7208
MEM 404.535156 1672725605.8276
MEM 409.656250 1672725605.9362
MEM 410.679688 1672725606.0439
MEM 418.394531 1672725606.1527
MEM 427.207031 1672725606.2604
MEM 427.531250 1672725606.3701
MEM 427.542969 1672725606.4768
MEM 427.542969 1672725606.5865
MEM 427.546875 1672725606.6932
MEM 427.570312 1672725606.8019
MEM 427.570312 1672725606.9096
MEM 427.613281 1672725607.0183
MEM 427.628906 1672725607.1261
MEM 427.628906 1672725607.2348
MEM 427.628906 1672725607.3435
MEM 392.585938 1672725607.4512
MEM 392.593750 1672725607.5599
MEM 392.605469 1672725607.6676
MEM 392.722656 1672725607.7753
MEM 397.761719 1672725607.8840
MEM 402.273438 1672725607.9917
MEM 403.925781 1672725608.0995
MEM 404.246094 1672725608.2082
MEM 404.246094 1672725608.3159
MEM 404.246094 1672725608.4246
